2022-07-15 22:30:28,451 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:28,499 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:29,575 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:29,621 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:30,693 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:30,740 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:31,811 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:31,859 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:32,932 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:32,979 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:34,053 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:34,100 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:35,172 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:35,219 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:36,295 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:36,343 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:37,415 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:37,462 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:38,533 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:38,580 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:39,657 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:39,705 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:40,778 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:40,826 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:41,904 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:41,951 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:43,020 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:43,082 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:44,142 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:44,207 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:45,266 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:45,329 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:46,392 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:46,454 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:47,520 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:47,580 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:48,641 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:48,702 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:49,756 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:49,818 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:50,872 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:50,935 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:51,994 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:52,058 centralina.cloud ERROR    Connecting ..could not open port '1': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2022-07-15 22:30:53,113 centralina.cloud ERROR    Connecting ..could not open port 'COM10': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
